model_id,F_G,P_M,batch_size,T_step_ms,M_max_MB,config_path
light,0.187849792,1.954148,4,41.251212966938816,110.14794921875,cost_profile/outputs/subnets/exp1_light.json
light,0.187849792,1.954148,8,41.61721021402627,205.6337890625,cost_profile/outputs/subnets/exp1_light.json
light,0.187849792,1.954148,16,41.71352144020299,395.85546875,cost_profile/outputs/subnets/exp1_light.json
light,0.187849792,1.954148,32,41.480320720002055,773.767578125,cost_profile/outputs/subnets/exp1_light.json
light,0.187849792,1.954148,64,41.42057658017924,1517.43603515625,cost_profile/outputs/subnets/exp1_light.json
light,0.187849792,1.954148,128,55.37285962762932,3010.71044921875,cost_profile/outputs/subnets/exp1_light.json
4,0.32730016,3.264116,4,41.0637501332288,189.94091796875,cost_profile/outputs/subnets/exp1_4.json
4,0.32730016,3.264116,8,41.29910125397146,354.5205078125,cost_profile/outputs/subnets/exp1_4.json
4,0.32730016,3.264116,16,41.57599502708763,684.4296875,cost_profile/outputs/subnets/exp1_4.json
4,0.32730016,3.264116,32,41.708465072636805,1345.857421875,cost_profile/outputs/subnets/exp1_4.json
4,0.32730016,3.264116,64,45.23910713226845,2645.021484375,cost_profile/outputs/subnets/exp1_4.json
4,0.32730016,3.264116,128,88.30448157309245,5208.31591796875,cost_profile/outputs/subnets/exp1_4.json
33,0.347802688,3.297092,4,41.21551312661419,203.18408203125,cost_profile/outputs/subnets/exp1_33.json
33,0.347802688,3.297092,8,41.05155646645775,377.498046875,cost_profile/outputs/subnets/exp1_33.json
33,0.347802688,3.297092,16,41.629346765888236,733.7197265625,cost_profile/outputs/subnets/exp1_33.json
33,0.347802688,3.297092,32,41.577349013338484,1434.8349609375,cost_profile/outputs/subnets/exp1_33.json
33,0.347802688,3.297092,64,47.79661311457554,2827.05029296875,cost_profile/outputs/subnets/exp1_33.json
33,0.347802688,3.297092,128,93.97967237358291,5561.9970703125,cost_profile/outputs/subnets/exp1_33.json
15,0.364244032,3.438188,4,41.06698598712683,212.92529296875,cost_profile/outputs/subnets/exp1_15.json
15,0.364244032,3.438188,8,41.70781806576997,394.3017578125,cost_profile/outputs/subnets/exp1_15.json
15,0.364244032,3.438188,16,41.535384339901306,770.1484375,cost_profile/outputs/subnets/exp1_15.json
15,0.364244032,3.438188,32,41.743925833143294,1522.513671875,cost_profile/outputs/subnets/exp1_15.json
15,0.364244032,3.438188,64,48.470574100501835,2952.72900390625,cost_profile/outputs/subnets/exp1_15.json
15,0.364244032,3.438188,128,96.9938504928723,5833.55078125,cost_profile/outputs/subnets/exp1_15.json
36,0.378614848,3.955308,4,40.686832326464355,207.87255859375,cost_profile/outputs/subnets/exp1_36.json
36,0.378614848,3.955308,8,41.18857508059591,380.7021484375,cost_profile/outputs/subnets/exp1_36.json
36,0.378614848,3.955308,16,41.576365932511784,729.080078125,cost_profile/outputs/subnets/exp1_36.json
36,0.378614848,3.955308,32,42.47955456686517,1426.3046875,cost_profile/outputs/subnets/exp1_36.json
36,0.378614848,3.955308,64,46.921685792816184,2776.37939453125,cost_profile/outputs/subnets/exp1_36.json
36,0.378614848,3.955308,128,92.67144474045683,5485.654296875,cost_profile/outputs/subnets/exp1_36.json
3,0.461780032,4.835724,4,41.173805366270244,245.26318359375,cost_profile/outputs/subnets/exp1_3.json
3,0.461780032,4.835724,8,41.462607172628246,446.7333984375,cost_profile/outputs/subnets/exp1_3.json
3,0.461780032,4.835724,16,42.02670459325115,848.455078125,cost_profile/outputs/subnets/exp1_3.json
3,0.461780032,4.835724,32,41.90289091318846,1679.6640625,cost_profile/outputs/subnets/exp1_3.json
3,0.461780032,4.835724,64,53.40431476787975,3270.06689453125,cost_profile/outputs/subnets/exp1_3.json
3,0.461780032,4.835724,128,105.82587842674305,6444.404296875,cost_profile/outputs/subnets/exp1_3.json
