model_id,F_G,P_M,batch_size,T_step_ms,M_max_MB,config_path
light,2.300709952,1.954148,8,42.26410443428904,2427.60302734375,cost_profile/outputs/subnets/exp1_light.json
heavy,3.616826432,2.948956,8,65.86684129976977,3367.44384765625,cost_profile/outputs/subnets/exp1_heavy.json
0,4.71583136,3.55374,8,75.43906550544004,4729.609375,cost_profile/outputs/subnets/exp1_0.json
1,4.493150272,4.024732,8,65.62967039334278,4007.9462890625,cost_profile/outputs/subnets/exp1_1.json
2,4.15423648,3.40606,8,66.99990911409259,3982.9091796875,cost_profile/outputs/subnets/exp1_2.json
3,5.656355392,4.835724,8,80.41395213299741,5088.8173828125,cost_profile/outputs/subnets/exp1_3.json
4,4.00897696,3.264116,8,67.70089634694159,4139.9013671875,cost_profile/outputs/subnets/exp1_4.json
5,5.174615616,4.382892,8,78.38151005872835,4626.0341796875,cost_profile/outputs/subnets/exp1_5.json
6,5.04072096,4.500956,8,69.88633880702157,4254.4677734375,cost_profile/outputs/subnets/exp1_6.json
7,4.293198912,3.516892,8,69.90818916664769,4186.9736328125,cost_profile/outputs/subnets/exp1_7.json
8,4.369090112,3.97866,8,64.83163516658048,3931.53173828125,cost_profile/outputs/subnets/exp1_8.json
9,4.12237472,3.520692,8,67.01578829282273,4018.8212890625,cost_profile/outputs/subnets/exp1_9.json
10,5.085452864,4.4079,8,76.52004707449426,4730.8955078125,cost_profile/outputs/subnets/exp1_10.json
11,4.022599744,3.486676,8,63.99108813920369,3866.74755859375,cost_profile/outputs/subnets/exp1_11.json
12,4.815907392,3.854324,8,76.47315113339573,4770.3310546875,cost_profile/outputs/subnets/exp1_12.json
13,3.666249792,2.920196,8,63.37832973959545,3720.908203125,cost_profile/outputs/subnets/exp1_13.json
14,4.44199584,3.579452,8,70.88672272705783,4370.12353515625,cost_profile/outputs/subnets/exp1_14.json
15,4.461539392,3.438188,8,73.08851881263156,4605.80712890625,cost_profile/outputs/subnets/exp1_15.json
16,4.170593856,3.499836,8,66.64787416656812,3994.8408203125,cost_profile/outputs/subnets/exp1_16.json
17,4.49342624,3.401956,8,75.83843622667094,4653.06640625,cost_profile/outputs/subnets/exp1_17.json
18,4.20064928,3.506844,8,65.5030357806633,3838.34326171875,cost_profile/outputs/subnets/exp1_18.json
19,4.263946304,3.973124,8,62.45256483244399,3835.595703125,cost_profile/outputs/subnets/exp1_19.json
20,4.754893376,3.780444,8,76.14303042646497,4488.1044921875,cost_profile/outputs/subnets/exp1_20.json
21,4.497791552,3.98354,8,67.5758311804384,4068.3515625,cost_profile/outputs/subnets/exp1_21.json
22,3.996608576,3.459708,8,65.12665942776948,3939.697265625,cost_profile/outputs/subnets/exp1_22.json
23,4.105264704,3.148516,8,69.89240517374128,4262.119140625,cost_profile/outputs/subnets/exp1_23.json
24,4.437705792,3.586972,8,71.51415221393108,4394.984375,cost_profile/outputs/subnets/exp1_24.json
25,3.748613696,2.85758,8,66.76660230693717,3999.4384765625,cost_profile/outputs/subnets/exp1_25.json
26,5.047168576,4.46314,8,74.54446759385367,4470.7119140625,cost_profile/outputs/subnets/exp1_26.json
27,3.91477152,3.061292,8,65.92880742624402,4021.1513671875,cost_profile/outputs/subnets/exp1_27.json
28,4.878326336,4.443276,8,71.35258650717635,4277.2314453125,cost_profile/outputs/subnets/exp1_28.json
29,4.154662976,3.308876,8,69.10044168122113,4112.8955078125,cost_profile/outputs/subnets/exp1_29.json
30,4.63304096,4.011796,8,71.1778867803514,4353.3896484375,cost_profile/outputs/subnets/exp1_30.json
31,3.933161024,3.23198,8,64.77478589396924,3936.119140625,cost_profile/outputs/subnets/exp1_31.json
32,3.99517856,3.220884,8,69.10794546672453,4247.22265625,cost_profile/outputs/subnets/exp1_32.json
33,4.260132928,3.297092,8,70.93294973950833,4396.47216796875,cost_profile/outputs/subnets/exp1_33.json
34,4.41753504,3.399508,8,73.71405945314716,4539.3388671875,cost_profile/outputs/subnets/exp1_34.json
35,4.554465344,3.8033,8,72.28431831424435,4416.9150390625,cost_profile/outputs/subnets/exp1_35.json
36,4.637581888,3.955308,8,70.89111159245174,4362.1767578125,cost_profile/outputs/subnets/exp1_36.json
37,4.168110144,3.280004,8,70.31267768703401,4100.3193359375,cost_profile/outputs/subnets/exp1_37.json
38,4.054913088,3.185524,8,68.0703479796648,4094.3505859375,cost_profile/outputs/subnets/exp1_38.json
39,4.583341632,3.860916,8,69.44894136550526,4179.060546875,cost_profile/outputs/subnets/exp1_39.json
40,4.679529024,4.231132,8,68.23644565418363,4083.892578125,cost_profile/outputs/subnets/exp1_40.json
41,4.304538688,3.61642,8,66.98846850078553,4067.7802734375,cost_profile/outputs/subnets/exp1_41.json
42,4.707602496,4.098724,8,71.67807628555845,4487.0439453125,cost_profile/outputs/subnets/exp1_42.json
43,4.512919616,3.905796,8,70.81183093289535,4178.98681640625,cost_profile/outputs/subnets/exp1_43.json
44,4.340590144,3.484764,8,73.62648194655776,4572.09375,cost_profile/outputs/subnets/exp1_44.json
45,4.587706944,3.738532,8,71.77340158106138,4407.64013671875,cost_profile/outputs/subnets/exp1_45.json
46,4.535147584,3.460172,8,76.38309918654461,4609.1455078125,cost_profile/outputs/subnets/exp1_46.json
47,3.75872416,2.91026,8,63.153508946609996,3791.5986328125,cost_profile/outputs/subnets/exp1_47.json
48,4.403209792,3.4125,8,73.7943369941786,4549.78125,cost_profile/outputs/subnets/exp1_48.json
49,3.982358592,3.30502,8,64.5058118396749,3906.234375,cost_profile/outputs/subnets/exp1_49.json
