[light] FLOPs=73621.8M, Params=1.95M, T_step=94.601ms, M_step=9320.2MB
[heavy] FLOPs=115737.5M, Params=2.95M, T_step=152.719ms, M_step=13070.5MB
[0] FLOPs=150905.6M, Params=3.55M, T_step=186.360ms, M_step=18403.0MB
[1] FLOPs=143779.8M, Params=4.02M, T_step=160.660ms, M_step=15547.6MB
[2] FLOPs=132934.6M, Params=3.41M, T_step=162.180ms, M_step=15425.7MB
[3] FLOPs=181002.4M, Params=4.84M, T_step=199.178ms, M_step=19819.2MB
[4] FLOPs=128286.3M, Params=3.26M, T_step=164.145ms, M_step=16054.0MB
[5] FLOPs=165586.7M, Params=4.38M, T_step=188.519ms, M_step=17993.3MB
[6] FLOPs=161302.1M, Params=4.50M, T_step=168.878ms, M_step=16554.6MB
[7] FLOPs=137381.4M, Params=3.52M, T_step=168.219ms, M_step=16205.1MB
[8] FLOPs=139809.9M, Params=3.98M, T_step=156.886ms, M_step=15247.9MB
[9] FLOPs=131915.0M, Params=3.52M, T_step=162.402ms, M_step=15568.2MB
[10] FLOPs=162733.5M, Params=4.41M, T_step=187.179ms, M_step=18414.0MB
[11] FLOPs=128722.2M, Params=3.49M, T_step=153.493ms, M_step=14953.8MB
[12] FLOPs=154108.1M, Params=3.85M, T_step=188.753ms, M_step=18574.3MB
[13] FLOPs=117319.0M, Params=2.92M, T_step=150.598ms, M_step=14404.8MB
[14] FLOPs=142142.9M, Params=3.58M, T_step=172.768ms, M_step=16991.8MB
[15] FLOPs=142768.3M, Params=3.44M, T_step=180.093ms, M_step=17956.4MB
[16] FLOPs=133458.0M, Params=3.50M, T_step=161.924ms, M_step=15479.7MB
[17] FLOPs=143788.7M, Params=3.40M, T_step=183.993ms, M_step=18151.6MB
[18] FLOPs=134419.8M, Params=3.51M, T_step=156.664ms, M_step=14879.3MB
[19] FLOPs=136445.3M, Params=3.97M, T_step=150.457ms, M_step=14819.8MB
[20] FLOPs=152155.6M, Params=3.78M, T_step=182.637ms, M_step=17449.7MB
[21] FLOPs=143928.4M, Params=3.98M, T_step=161.802ms, M_step=15794.6MB
[22] FLOPs=127890.5M, Params=3.46M, T_step=156.835ms, M_step=15267.4MB
[23] FLOPs=131367.5M, Params=3.15M, T_step=169.745ms, M_step=16568.7MB
[24] FLOPs=142005.6M, Params=3.59M, T_step=173.063ms, M_step=17033.0MB
[25] FLOPs=119954.7M, Params=2.86M, T_step=160.541ms, M_step=15536.9MB
[26] FLOPs=161508.4M, Params=4.46M, T_step=179.090ms, M_step=17375.6MB
[27] FLOPs=125271.7M, Params=3.06M, T_step=158.279ms, M_step=15599.3MB
[28] FLOPs=156105.5M, Params=4.44M, T_step=170.147ms, M_step=16539.8MB
[29] FLOPs=132948.3M, Params=3.31M, T_step=166.216ms, M_step=15951.3MB
[30] FLOPs=148256.4M, Params=4.01M, T_step=174.011ms, M_step=16918.7MB
[31] FLOPs=125860.2M, Params=3.23M, T_step=155.769ms, M_step=15210.4MB
[32] FLOPs=127844.8M, Params=3.22M, T_step=168.137ms, M_step=16489.5MB
[33] FLOPs=136323.3M, Params=3.30M, T_step=173.703ms, M_step=17133.7MB
[34] FLOPs=141360.2M, Params=3.40M, T_step=179.867ms, M_step=17704.9MB
[35] FLOPs=145741.9M, Params=3.80M, T_step=175.062ms, M_step=17171.9MB
[36] FLOPs=148401.7M, Params=3.96M, T_step=171.127ms, M_step=16897.6MB
[37] FLOPs=133378.6M, Params=3.28M, T_step=168.429ms, M_step=15908.6MB
[38] FLOPs=129756.3M, Params=3.19M, T_step=164.669ms, M_step=15839.9MB
