[light] B=4: T_step=37.287ms, M_step=109.2MB
[light] B=8: T_step=35.136ms, M_step=204.4MB
[light] B=16: T_step=36.624ms, M_step=394.9MB
[light] B=32: T_step=37.576ms, M_step=771.3MB
[light] B=64: T_step=37.104ms, M_step=1516.4MB
[light] B=128: T_step=38.873ms, M_step=3010.4MB
[medium] B=4: T_step=37.820ms, M_step=209.0MB
[medium] B=8: T_step=39.226ms, M_step=382.7MB
[medium] B=16: T_step=39.086ms, M_step=738.9MB
[medium] B=32: T_step=38.824ms, M_step=1444.5MB
[medium] B=64: T_step=39.380ms, M_step=2865.2MB
[medium] B=128: T_step=53.602ms, M_step=5665.6MB
[heavy] B=4: T_step=36.106ms, M_step=156.7MB
[heavy] B=8: T_step=35.585ms, M_step=288.5MB
[heavy] B=16: T_step=36.387ms, M_step=549.5MB
[heavy] B=32: T_step=37.561ms, M_step=1077.8MB
[heavy] B=64: T_step=39.521ms, M_step=2155.9MB
[heavy] B=128: T_step=43.746ms, M_step=4244.9MB
